item,number,URL
Dowel Pin (45mm),16,https://www.amazon.com/dp/B07MKMQBD7/?coliid=ICB7LLGE7ILPV&colid=3OMDWARCTV8V0&ref_=lv_ov_lig_dp_it&th=1
Dowel Pin (14mm),14,https://www.amazon.com/gp/product/B07Y57XN14/ref=ppx_yo_dt_b_asin_title_o03_s00?ie=UTF8&th=1
Dowel Pin (12mm),8,https://www.amazon.com/gp/product/B07Y58J3ZX/ref=ppx_yo_dt_b_asin_title_o04_s00?ie=UTF8&th=1
"Magnet (small, finger linkage)",26,https://www.amazon.com/gp/product/B07QFHGZZF/ref=ppx_yo_dt_b_asin_title_o02_s00?ie=UTF8&psc=1
"Magnet (medium, finger linkage)",11,https://www.amazon.com/gp/product/B07VSDYK6F/ref=ppx_yo_dt_b_asin_title_o00_s00?ie=UTF8&psc=1
"Magnet (large, wrist linkage)",2,https://www.amazon.com/gp/product/B06XD2X45M/ref=ppx_yo_dt_b_asin_title_o00_s00?ie=UTF8&th=1
Wrist Strap,2,https://www.amazon.com/gp/product/B08L5YFS1K/ref=ppx_yo_dt_b_asin_title_o00_s02?ie=UTF8&psc=1
Finger Strap,,https://www.amazon.com/gp/product/B000F5K82A/ref=ppx_yo_dt_b_asin_title_o01_s00?ie=UTF8&psc=1
O-Ring,16,https://www.amazon.com/gp/product/B082STPT58/ref=ppx_yo_dt_b_asin_title_o00_s00?ie=UTF8&th=1
M2.5 Hex Socket Cap Screw,,https://www.amazon.com/gp/product/B07PS8V4V3/ref=ppx_yo_dt_b_asin_title_o07_s00?ie=UTF8&psc=1
M2.5 Flat Washer,,https://www.amazon.com/gp/product/B017ARSHAK/ref=ppx_yo_dt_b_asin_title_o00_s01?ie=UTF8&psc=1
M2 Hex Socket Cap Screw & M2 Nuts,4,https://www.amazon.com/gp/product/B07W6GMK58/ref=ppx_yo_dt_b_asin_title_o08_s00?ie=UTF8&psc=1
,,"STL note: for pinky finger, remove the middle linkage"